編號,書名,所在冊, 起始頁碼, 所屬類別, 版本,出版商,藏書地, 封面圖片,封面信息, 書內備註,整理備注
391,新刻碧玉帶全本四卷,第十六册,145,无,清以文堂刻本,以文堂,復旦大學圖書館,无,"故事情節/內容, 書名, 書局信息",原書版框高一六七毫米 寬一二五毫米,无
392,新選全本碧桃仙帕四卷,第十六册,183,南音,清省城丹柱堂刻歸德門內學院前街璧經堂印本,"丹柱堂, 璧經堂",廣州大典研究中心,无,"分類, 書名, 書局信息",題 閒情居士 稿,封面寫“新刻南音全本”
393,新選全本正字碧桃仙帕四卷,第十六册,215,无,民國五桂堂石印本,廣州五桂堂,廣州圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六六毫米 寬一一三毫米,无
394,新編壽星橋祭奠鳳嬌投水全集不分卷,第十六册,243,无,民國廣州市光復中路華興書局鉛印本,華興書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",余瑞珊 編輯,无
395,新選全本銀合太子走國初集至五集五十卷,第十六册,260,无,清佛山舍人後街近文堂刻本,近文堂,中山大學中國非物質文化遺產研究中心,无,"故事情節/內容, 書名",題閒情居士訂；原書版框高一六八毫米 寬一一四毫米,无
396,新選全本銀合太子走國十卷,第十七册,1,无,清佛山近文堂刻文光樓印本,"文光樓, 近文堂",國家圖書館,无,"故事情節/內容, 書名, 書局信息",題閒情居士訂,无
397,全本劏仔記一卷,第十七册,98,无,清廣文堂刻本,廣文堂,德國巴伐利亞州立圖書館,无,"書名, 書局信息",題怡情主人撰,无
398,新刻全本謀夫害子劏仔記二卷,第十七册,121,无,民國省港五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六四毫米 寬一一〇毫米,无
399,新刻正字盤龍寶扇全本二卷,第十七册,137,无,清末民國第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 故事情節/內容, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六四毫米 寬一一〇毫米,无
400,全本盆龍寶扇記二卷,第十七册,146,无,民國廣州市光復中路醉經書局刻本,醉經書局,廣州大典研究中心,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一五六毫米 寬一〇七毫米,无
401,新刻正字劉全進瓜全本二卷,第十七册,157,无,民國五桂堂刻本,廣州五桂堂,中山大學圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六二毫米 寬一一四毫米,无
402,新選全本劉秀太子走國初集至四集二十四卷,第十七册,172,无,清禪山近文堂刻民國廣州市光復中路醉經書局印本,"近文堂, 醉經書局",中山大學圖書館,无,"插畫, 書名, 書局信息, 書局廣告",題 株守山房 西堠居士 訂；原書版框高一六二毫米 寬一一四毫米,无
403,劉晨採藥一卷,第十七册,379,无,清廣文堂刻本,廣文堂,德國巴伐利亞州立圖書館,无,"故事情節/內容, 書名, 書局信息",无,无
404,新刻全本劉晨採藥仙凡記初集至四卷二集四卷,第十七册,386,无,清省城第七甫丹柱堂刻民國廣州市光復路五桂堂印本,"丹柱堂, 廣州五桂堂",中山大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",題西堠居士訂；原書版框高一六二毫米 寬一一四毫米,无
