編號,書名,所在冊, 起始頁碼, 所屬類別, 版本,出版商,藏書地, 封面圖片,封面信息, 書內備註,整理備注
1,剃頭佬嘆五更一卷,第二冊,1,叹五更,清末民國廣州狀元坊太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
2,改良洋烟自嘆一卷,第二冊,4,无,清末民國廣州狀元坊太平新街以文堂刻本,以文堂,復旦大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,非嘆五更格式
3,新本洋烟自嘆一卷 ,第二冊,7,无,民國廣州市第七甫醉經堂刻本,醉經堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一五五毫米 寬一〇二毫米,封面寫《醉經書局》，內頁寫“醉經堂機器板”，非叹五更格式。
4,客途秋恨一卷  ,第二冊,10,无,清末民國第七甫五桂堂刻本,廣州五桂堂,廣州圖書館,无,無封面,无,无
5,客途秋恨一卷,第二冊,13,无,清末民國禪山走馬路芹香閣刻本,芹香閣,佛山市順德圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題 芹香閣重訂 原書版框高一六六毫米 寬一一三毫米,內頁寫“佛山芹香閣板”
6,客途秋恨龍舟歌一卷,第二冊,16,龍舟,民國廣州市第七甫醉經堂刻本,醉經堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一五四毫米 寬一〇二毫米,封面寫“醉經書局”《正訂客途秋恨》，內頁標題《客途秋恨龍舟歌》，下寫“醉經堂機器板”
7,正板客途秋恨一卷  ,第二冊,19,无,民國廣州市光復中路五桂堂鉛印本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,封面寫“省港五桂堂書局印行”，內頁寫“五桂堂機印”
8,龍舟馬迪發夢一卷  ,第二冊,22,龍舟,清刻民國省港五桂書局印本,五桂書局,日本天理大學附屬天理圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,封面寫“省港五桂堂書局印行”，內頁標題《龍舟馬迪發夢》
9,新本龍舟歌馬迪嘆五更一卷 ,第二冊,25,"叹五更, 龍舟",清省城□文□刻民國廣州市以文堂印本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁標題《新本龍舟歌馬迪嘆五更》
10,起解李旦一卷 ,第二冊,29,无,清末民國第七甫五桂堂刻本,廣州五桂堂,復旦大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
11,莫做亂世人二卷  ,第二冊,32,无,清末民國刻本,無信息,日本天理大學附屬天理圖書館,无,"插畫, 書名, 畫家信息",无,无
12,莊子試妻二卷,第二冊,36,龍舟,清省城靖遠大街德文堂刻本,德文堂,廣東省立中山圖書館,无,"分類, 插畫, 書名, 書局信息",原書版框高一六二毫米 寬一一〇毫米,封面寫“新出龍舟歌”，結尾寫“此書乃改惡從善大有益”
13,桂枝寫狀一卷,第二冊,42,南音,清省城廣文堂刻本,廣文堂,德國巴伐利亞州立圖書館,无,"插畫, 書名, 書局信息",題 閒情居主 較訂,封面寫“桂枝寫狀南音”
14,桃花送藥一卷,第二冊,45,无,清末民國□□堂刻廣州市光復中路醉經書局印本,醉經書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一五五毫米 寬一〇二毫米,封面寫“醉經書局”，另有“本局專辦……機板南音龍舟班本搜羅新出名優唱本……發行”
15,新本桃花送藥二卷,第二冊,48,无,清末民國佛山走馬路芹香閣刻本,芹香閣,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題 佛鎮芹香閣 重訂 原書版框高一六〇毫米 寬一〇二毫米,內頁寫“佛山芹香閣機器板”
16,桃花妹送藥一卷,第二冊,52,无,民國西堤二馬路正興大街成文堂刻本,成文堂,首都圖書館,无,"插畫, 書名, 書局信息",无,封面人物腿上文字疑似“龍舟”。內頁標題《桃花妹送藥》
17,豈有唔嬲三卷,第二冊,55,无,清末民國廣州狀元坊太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁寫“以文堂機器板”
18,新本龍舟歌徐庶歸家二卷,第二冊,60,龍舟,清同益堂刻本,同益堂,復旦大學圖書館,无,"分類, 書名",題 龍舟松 撰,封面寫“龍舟松原本分句合鑼鼓（皮）”
19,殺子有報三卷,第二冊,66,无,清末民國以文堂刻本,以文堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,內頁寫“以文堂機器板”
20,殺妻一卷,第二冊,72,南音,清□□堂刻本,無信息,日本天理大學附屬天理圖書館,无,"分類, 插畫, 書名",无,封面寫“□□欄孫家 剎妻南音”
21,龍舟煙友細談一卷,第二冊,75,龍舟,民國廣州市第七甫醉經堂刻本,醉經堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,封面標題為《煙友世談》
22,酒樓戲鳳一卷,第二冊,78,无,清末民國廣州狀元坊太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
23,重訂陳世美五弄琵琶一卷,第二冊,81,无,清佛山走馬路芹香閣刻本,芹香閣,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息",題 佛鎮芹香閣 重訂,无
24,陳世美五弄琵琶一卷,第二冊,84,龍舟,清末民國□□堂刻香港五桂堂印本,香港五桂堂,日本金文京先生藏本,无,"分類, 插畫, 書名, 書局信息, 書局廣告, 畫家信息",題 □□堂主人 重訂,封面寫“正字龍舟”
25,陳姑追舟一卷,第二冊,87,南音,清丹桂堂刻本,丹桂堂,德國巴伐利亞州立圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“南音”
26,陳姑餞別偷詩稿全一卷,第二冊,90,无,清刻本,無信息,中山大學中國非物質文化遺產研究中心,无,"故事情節/內容, 書名",无,无
27,陳琳英嘆五更全本一卷,第二冊,96,"叹五更, 龍舟",清正興街成文堂刻本,成文堂,復旦大學圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新出龍舟歌”
28,新訂孫夫人投江一卷,第二冊,99,龍舟,清富經堂刻民國廣州市太平新街以文堂印本,以文堂,臺北傅斯年圖書館,无,"分類, 插畫, 書名, 書局信息, 畫家信息",无,封面寫“龍舟”
29,陰陽雪恨三卷,第二冊,102,无,清末民國第七甫五桂堂刻本,廣州五桂堂,英國倫敦大學亞非學院圖書館,无,"分類, 插畫, 故事情節/內容, 書名, 書局信息, 畫家信息, 藥廠廣告",无,封面標題為《正字再世從良》
30,新本陰陽雪恨三卷,第二冊,113,无,民國廣州光復中路醉經書局刻本,醉經書局,廣州大典研究中心,无,"插畫, 書名, 書局信息, 書局廣告",无,无
31,改良陰魂雪恨全套一卷,第二冊,119,无,民國廣州市光復中路醉經書局鉛印本,醉經書局,首都圖書館,无,"插畫, 書名, 書局信息, 書局廣告",无,无
32,陶府訴情一卷,第二冊,124,无,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六一毫米 寬一一四毫米,无
33,陶府訴情一卷,第二冊,127,龍舟,清末民國成文堂刻本,成文堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新出龍舟歌”
34,梅妃託夢一卷,第二冊,130,无,清末民國五桂堂刻本,廣州五桂堂,日本天理大學附屬天理圖書館,无,"插畫, 書名, 書局信息",无,封面標題為《梅妃報夢》
35,梅妃宮怨一卷,第二冊,133,无,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六一毫米 寬一一四毫米,第七甫五桂堂機器板
36,新出梳頭媽自嘆一卷,第二冊,136,龍舟,清□□樓刻正興街成文堂印本,成文堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新出龍舟歌”
37,梨園雜調一卷,第二冊,139,无,清末民國太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題 以文堂 重訂,封面標題《偷盜解心》
38,新出做人難一卷,第二冊,142,无,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 畫家信息, 藥廠廣告",原書版框高一五七毫米 寬一〇四毫米,无
39,新本偷詩稿一卷,第二冊,146,无,清末民國五桂堂刻本,廣州五桂堂,日本天理大學附屬天理圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,屬於《陳姑追舟》部分情節摘選
40,新本偷詩稿一卷,第二冊,149,龍舟,清末民國成文堂刻本,成文堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“新出龍舟歌”，屬於《陳姑追舟》部分情節摘選
41,週年快活一卷,第二冊,152,无,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六一毫米 寬一一四毫米,內頁寫“第七甫五桂堂機器板”
42,魚蝦嫁女一卷,第二冊,155,南音,清刻本,無信息,復旦大學圖書館,无,"分類, 書名",无,封面寫《南音魚蝦嫁女》
43,祭奠大沙頭金嬌三卷,第二冊,158,无,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息",原書版框高一六一毫米 寬一一四毫米,封面《大沙頭祭奠金嬌》，旁有《老鼠嫁女》。內頁標題《祭奠大沙頭金嬌》，下寫“第七甫五桂堂板”
44,祭奠狄青二卷,第二冊,163,无,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六一毫米 寬一一四毫米,內頁寫“第七甫五桂堂藏板”
45,麻瘋裝船一卷,第二冊,167,龍舟,民國廣州市太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"分類, 插畫, 書名, 書局信息, 畫家信息",无,封面寫“新出龍舟”，標題為《瘋妹裝船》
46,望月團圓南音一卷,第二冊,170,南音,清刻民國廣州市太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息",无,內頁寫“□望團圓南音”
47,趣緻龍舟添花報喜一卷,第二冊,175,龍舟,民國五桂堂刻本,廣州五桂堂,佛山市博物館,无,"分類, 插畫, 書名, 書局信息, 畫家信息",徐庚暉 編稿,封面寫“最新趣緻龍舟”，內頁寫“花邑徐庚暉編稿”。另有備注詳見下文
48,新本淑英燒衣附薦何文秀一卷,第二冊,178,无,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",原書版框高一六一毫米 寬一一四毫米,无
49,梁李爭第一二卷,第二冊,182,南音,民國省港五桂堂刻本,廣州五桂堂,英國倫敦大學亞非學院圖書館,无,"分類, 插畫, 書名, 書局信息, 書局廣告",无,封面寫“正字南音”
50,梁佳自嘆五更一卷,第二冊,186,叹五更,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六一毫米 寬一一四毫米,內頁寫“梁佳自嘆五更”
51,新刻梁婆求媳一卷,第二冊,191,无,清末民國五桂堂刻本,廣州五桂堂,首都圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
52,新本張大立妾二卷,第二冊,194,无,清五桂堂刻本,廣州五桂堂,日本天理大學附屬天理圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",无,无
53,揀摘交遊歌訣□□卷(存卷上),第二冊,200,无,民國廣州市光復中路民智書店鉛印本,民智書店,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 酒莊廣告",无,只見上卷
54,萬惡化為良一卷,第二冊,203,无,民國鉛印本,無信息,佛山市順德圖書館,无,無封面,无,无
55,萬惡化為良一卷金山婆自嘆一卷老女嘆五更怨嫁遲一卷蘇娘寫血書一卷,第二冊,214,叹五更,民國鉛印本,無信息,佛山市順德圖書館,无,無封面,无,見詳情
56,萬壽宮訴恨一卷,第二冊,224,无,清丹柱堂,丹柱堂,復旦大學圖書館,无,無封面,无,丹柱堂跟丹桂堂會不會是同一個出版社，然後錯字誤傳？
57,新本雲英問病一卷,第二冊,227,无,清省城五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一五七毫米 寬一〇四毫米,內頁寫“省城五桂堂藏板”
58,新本雲英問病一卷,第二冊,231,无,清□□堂刻民國廣州狀元坊太平新街以文堂印本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
59,貼錢買難受並附戒煙良方一卷,第二冊,235,无,清末民國狀元坊太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題 以文堂主人 訂,教育：不要抽煙
60,閗線櫃一卷,第二冊,238,南音,清攀桂堂刻本,攀桂堂,德國巴伐利亞州立圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面書名《挑線櫃》，寫“南音”
61,貴妃醉酒一卷,第二冊,241,无,清末民國第七甫五桂堂刻本,廣州五桂堂,首都圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁“第七甫五桂堂藏板”
62,貴嬌問病一卷,第二冊,244,无,清末民國第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 畫家信息, 藥廠廣告",原書版框高一五七毫米 寬一〇四毫米,內頁“第七甫五桂堂機器板”
63,重訂欽點一枝花一卷,第二冊,247,无,清末民國狀元坊太平新街以文堂刻本,以文堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息",題 以文堂主人訂。 原書版框高一六六毫米 寬一〇八毫米,內頁“以文堂機器板”
64,貂蟬拜月一卷,第二冊,250,无,清省城三元堂刻民國廣州市西堤二馬路正興大街成文堂印本,"三元堂, 成文堂",復旦大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題 龍舟珠 訂,封面標題《刁嬋拜月》
65,善惡分明一卷,第二冊,253,无,民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息",原書版框高一五七毫米 寬一〇四毫米,无
66,發瘋佬自嘆一卷,第二冊,256,叹五更,清末民國第七甫五桂堂刻本,廣州五桂堂,首都圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁“第七甫五桂堂機器板”，為歎五更格式書寫
67,新出發瘋佬自嘆二卷,第二冊,259,无,民國廣州市光復中路醉經書局刻本,醉經書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",原書版框高一五五毫米 寬一〇二毫米,无
68,瑞愛操琴一卷,第二冊,263,无,民國赤坎新開書局鉛印本,赤坎書局,廣州大典研究中心,无,"插畫, 書名",原書版框高一五四毫米 寬一〇一毫米,无
69,瑞蘭店中分別一卷,第二冊,269,龍舟,清末民國五桂堂刻本,廣州五桂堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面《店中分別龍舟歌》
70,瑞蘭許願一卷,第二冊,272,龍舟,清末民國廣州第七甫五桂堂刻本,廣州五桂堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息, 畫家信息",无,封面《瑞蘭許願龍舟歌》
71,蓮英招親一卷,第二冊,275,无,民國赤坎新開書局鉛印本,赤坎書局,佛山市順德圖書館,无,無封面,原書版框高一五五毫米 寬一〇〇毫米,无
72,新出夢蘭憶友龍舟歌一卷,第二冊,277,龍舟,清□□堂刻咸嘉巷三元堂印本,三元堂,國家圖書館,无,"分類, 書名, 書局信息",无,封面《新出龍舟歌夢蘭噫友》
73,蒙正招親一卷,第二冊,282,南音,清桂籍堂刻本,桂籍堂,德國巴伐利亞州立圖書館,无,"分類, 書名, 書局信息",无,封面寫“新南音”
74,蒙正捱雪一卷,第二冊,285,无,清富經堂刻民國廣州市太平新街以文堂印本,"以文堂, 富經堂",臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
75,蒙正捱雪一卷,第二冊,288,南音,清五桂堂刻本,廣州五桂堂,北京師範大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁寫“蒙正捱雪 試□南音 五桂堂板”
76,蒙正祭灶一卷,第二冊,291,无,清□□堂刻民國廣州市西堤二馬路正興大街成文堂印本,成文堂,首都圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
77,蒙正祭灶一卷,第二冊,294,无,清□□堂刻民國廣州市光復路以文堂印本,以文堂,廣州大典研究中心,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",原書版框高一六三毫米 寬一〇三毫米,无
78,蒙正祭灶一卷,第二冊,297,无,清末民國第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 畫家信息, 藥廠廣告",无,封面有“機器板”，內頁“第七甫五桂堂藏板”
79,蒙正賞月一卷,第二冊,300,龍舟,清五桂堂刻本,廣州五桂堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面《蒙正賞月龍舟歌》
80,蒙正賞月一卷,第二冊,303,龍舟,清末民國成文堂刻本,成文堂,復旦大學圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面”新出龍舟歌“
81,蒙正擺齋一卷,第二冊,306,无,清刻民國廣州市太平新街以文堂印本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
82,杨翠喜憶情郎二卷,第二冊,309,无,清第七甫□□堂刻民國第七甫醉經堂印本,醉經堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
83,解茶泡一卷,第二冊,313,龍舟,清刻民國廣州市太平新街以文堂印本,以文堂,臺北傅斯年圖書館,无,"分類, 插畫, 書名, 書局信息, 畫家信息",无,封面”新出龍舟“
84,解攜籃南音二卷玉嬋附薦金蘭二卷玉嬋嘆五更一卷玉嬋問覡二卷,第二冊,316,南音,清省城以文堂刻本,以文堂,英國倫敦大學亞非學院圖書館,无,"插畫, 書名, 書局信息, 藥廠廣告",无,內頁“解攜籃南音上”
85,解攜籃二卷,第二冊,327,无,清末民國廣州第七甫五桂堂刻本,廣州五桂堂,北京師範大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁“第七甫五桂堂機器板”
86,新五諫妻一卷,第二冊,331,龍舟,清第八甫醉經堂刻本,醉經堂,廣州圖書館,无,"分類, 書名, 書局信息",无,封面”新出龍舟歌“
87,新拆字眼一卷,第二冊,336,无,清末民國第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 藥廠廣告",无,內頁“第七甫五桂堂藏板”
88,新怨夫老一卷,第二冊,339,无,民國廣州市光復中路醉經書局刻本,醉經書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",无,无
89,新送嫁歌一卷,第二冊,342,无,清刻民國醉經書局印本,醉經書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",无,无
90,新洞房不遂一卷,第二冊,346,无,清以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
91,新雪梅買水一卷,第二冊,349,无,清末民國以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",題 雅韻軒 訂選,內頁“順邑雅韻軒訂選”
92,新婿上廳一卷,第二冊,352,无,清刻民國五桂堂印本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,封面標題《六姑回門》
93,新發財歌一卷徐庶歸家一卷,第二冊,355,"木魚, 龍舟",民國廣州市光復中路華興書局鉛印本,華興書局,廣東省立中山圖書館,无,"分類, 書名, 書局信息",余瑞珊 編輯,封面標題“最新木魚”，內頁“新串趣緻龍舟歌”、“編輯人荻海南山余瑞珊，印刷者廣州市華興書局”、“新串木魚新發財歌”
94,龍舟碧月收棋一卷,第二冊,362,无,清狀元坊太平新街以文堂刻本,以文堂,復旦大學圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,內頁“龍舟碧月收棋”，《花箋記》片段
95,碧仙執藥一卷,第二冊,365,无,清□書堂刻本,無信息,廣州大典研究中心,无,"插畫, 書名, 書局信息",原書版框高一五〇毫米 寬一〇九毫米,无
96,碧桃錦帕一卷,第二冊,368,龍舟,清省城靖遠大街德文堂刻本,德文堂,廣東省立中山圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面“新出龍舟歌”
97,龍舟碧桃錦帕一卷,第二冊,371,龍舟,清省城狀元坊太平新街以文堂刻本,以文堂,復旦大學圖書館,无,"分類, 插畫, 書名, 書局信息",題 以文堂 訂,封面“新出龍舟歌”，內頁“龍舟碧桃錦帕”
98,碧容拜月一卷,第二冊,374,无,清刻民國廣州市太平新街以文堂印本,以文堂,首都圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
99,碧容祭監二卷,第二冊,377,南音,清□□堂刻粵東省城正興大街成文堂印本,成文堂,國家圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面“新刻南音全本”
100,碧容祭監二卷,第二冊,386,南音,清末民國第七甫以文堂刻五桂堂印本,"以文堂, 廣州五桂堂",英國倫敦大學亞非學院圖書館,无,"插畫, 書名, 書局信息, 書局廣告",无,封面標題《碧容探監》，有“機板正字 好唱南音”字，內頁標題“大罵梅知府”，下“第七甫以文堂機器板”
101,碧容祭監二卷,第二冊,391,南音,民國廣州市第七甫醉經堂刻本,醉經堂,廣東省立中山圖書館,无,"分類, 插畫, 書名, 書局信息, 書局廣告",原書版框高一五五毫米 寬一〇二毫米,封面“好唱南音”
102,瑤仙拜月一卷,第二冊,395,南音,清攀□堂刻本,攀桂堂,復旦大學圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面“南音”，跟60號《閗線櫃一卷》似同一出處
103,趙匡胤算命三卷,第二冊,398,无,清□□堂刻民國廣州市西堤二馬路正興大街成文堂印本,成文堂,首都圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
104,奪標擇錦二卷,第二冊,403,无,清省城五桂堂刻本,廣州五桂堂,中山大學中國非物質文化遺產研究中心,无,"插畫, 書名, 書局信息",无,无
105,閨諫瑞蘭一卷,第二冊,420,龍舟,清末民國第七甫五桂堂刻本,廣州五桂堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息, 畫家信息",无,封面寫“龍舟歌”
106,鳳氏祭夫一卷,第二冊,423,木魚,民國公益埠會文閣鉛印本,會文閣,中山大學中國非物質文化遺產研究中心,无,"書名, 書局信息",无,內頁寫“新出木魚”
107,鳳將軍倉前街被炸三卷,第二冊,427,无,民國第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 故事情節/內容, 書名, 書局信息",无,无
108,鳳儀亭訴苦二卷,第二冊,432,无,清末民國第七甫五桂堂刻本,廣州五桂堂,首都圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
109,重訂鳳儀亭訴苦二卷,第二冊,436,无,清末民國狀元坊內太平新街以文堂刻香港五桂堂印本,"以文堂, 香港五桂堂",英國倫敦大學亞非學院圖書館,无,"插畫, 書名, 書局信息, 書局廣告",无,无
110,鳳嬌寫血書投水一卷,第二冊,440,无,清末民國第七甫五桂堂刻本,廣州五桂堂,北京師範大學圖書館,无,"插畫, 書名, 書局信息",无,封面書名《鳳嬌投水》
111,鳳嬌寫血書投水一卷,第二冊,443,无,民國廣州市第七甫醉經堂刻本,醉經堂,北京師範大學圖書館,无,"插畫, 書名, 書局信息",无,封面書名《鳳嬌投水》
112,齊王祭奠一卷,第二冊,446,无,清刻民國醉經書局印本,醉經書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",題 枕流氏 稿,封面書名《齊王哭奠》，鍾無艷故事
113,齊家善法二卷,第二冊,449,无,清末民國狀元坊內太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"故事情節/內容, 書名",題 樂善堂 著作,无
114,鄧嬌問病二卷,第二冊,453,无,清省城五桂堂刻民國漢華書局印本,"廣州五桂堂, 漢華書局",廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,无
115,樊梨花陣上招親一卷,第二冊,459,无,清省城五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 畫家信息, 藥廠廣告",无,无
116,樊梨花嘆五更一卷,第二冊,462,无,清五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,无
117,賢妻諫賭一卷,第二冊,465,龍舟,清末民國第七甫五桂堂刻本,廣州五桂堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“龍舟歌”
118,改良賢婦鬧烟夫二卷,第二冊,468,龍舟,清末民國狀元坊內太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"分類, 插畫, 書名, 書局信息, 畫家信息",題 以文堂主人 訂,封面寫“新出龍舟”
119,豬仔客自嘆一卷,第二冊,472,无,民國廣州市第七甫醉經堂刻本,醉經堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,歎五更格式
120,豬籠浸女一卷,第二冊,475,无,清末民國第七甫五桂堂刻本,廣州五桂堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
121,賭仔回頭一卷,第二冊,479,无,民國廣州市太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"分類, 書名",无,封面寫“時事歌曲”
122,賭仔新發財□□卷(存卷上),第二冊,482,无,清□□堂刻民國醉經書局印本,醉經書局,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",无,无
123,賭仔賣女二卷,第二冊,485,无,民國廣州市第七甫醉經堂刻本,醉經堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告",无,无
124,劉生嘆五更一卷,第二冊,489,无,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,无
125,劉金定灌藥一卷,第二冊,492,南音,清省城廣文堂刻本,廣文堂,德國巴伐利亞州立圖書館,无,"分類, 插畫, 書名, 書局信息",无,封面寫“南音”
126,劉金定灌藥一卷,第二冊,495,无,清末民國□□堂刻本,無信息,廣州圖書館,无,無封面,无,无
127,新本窮極賣老婆二卷,第二冊,497,龍舟,民國廣州市正興大街成文堂刻本,成文堂,首都圖書館,无,"分類, 插畫, 書名, 書局信息",題 龍舟松 撰,封面寫“新出龍舟歌”
128,薛平貴全套不分卷,第二冊,501,龍舟,清省城□文堂刻本,無信息,廣東省立中山圖書館,无,"分類, 故事情節/內容, 書名, 書局信息",原書版框高一六八毫米 寬一一三毫米,封面寫“龍舟歌”
129,薛剛大鬧花燈打爛太廟一卷,第二冊,523,无,清末民國以文堂刻本,以文堂,臺北傅斯年圖書館,无,"插畫, 書名, 書局信息, 畫家信息",无,无
130,新刻薛剛大戰紀鸞英二卷,第二冊,526,无,清末民國五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 書局廣告, 畫家信息, 藥廠廣告",无,无
131,薛剛借兵一卷,第二冊,531,无,清末民國第七甫五桂堂刻本,廣州五桂堂,廣東省立中山圖書館,无,"插畫, 書名, 書局信息, 畫家信息, 藥廠廣告",无,无
132,醒世字花歌一卷,第二冊,534,龍舟,民國廣州市太平新街以文堂刻本,以文堂,臺北傅斯年圖書館,无,"分類, 插畫, 書名, 書局信息, 畫家信息",无,封面寫“新出龍舟”
